Timestamp,City,Temperature (°C),Humidity (%),Weather,Description,Wind Speed (m/s)
2025-07-23 19:59:11,Mumbai,26.99,89,Mist,mist,2.57
2025-07-23 19:59:12,Delhi,30.05,79,Mist,mist,2.06
2025-07-23 19:59:13,Bengaluru,23.0,78,Clouds,overcast clouds,6.92
2025-07-23 19:59:13,Hyderabad,23.6,88,Clouds,overcast clouds,6.76
2025-07-23 19:59:14,Chennai,28.6,92,Clouds,overcast clouds,1.34
2025-07-23 19:59:15,Kolkata,32.97,70,Haze,haze,2.06
2025-07-23 19:59:15,Ahmedabad,31.0,63,Clouds,overcast clouds,4.47
2025-07-23 19:59:15,Jaipur,23.08,93,Clouds,overcast clouds,2.18
2025-07-23 19:59:15,Lucknow,32.23,54,Clouds,overcast clouds,3.96
2025-07-23 19:59:15,Bhopal,23.88,83,Clouds,overcast clouds,4.28
2025-07-23 19:59:15,Patna,39.26,31,Clouds,overcast clouds,3.6
2025-07-23 19:59:16,Raipur,27.91,82,Clouds,overcast clouds,3.41
2025-07-23 19:59:16,Bhubaneswar,28.08,93,Clouds,overcast clouds,2.14
2025-07-23 19:59:16,Ranchi,27.54,74,Rain,moderate rain,0.78
2025-07-23 19:59:16,Dispur,30.49,73,Clouds,overcast clouds,1.73
2025-07-23 19:59:16,Imphal,24.67,92,Clouds,overcast clouds,0.21
2025-07-23 19:59:16,Agartala,30.13,78,Clouds,overcast clouds,1.54
2025-07-23 19:59:16,Aizawl,24.33,95,Clouds,overcast clouds,0.47
2025-07-23 19:59:17,Kohima,22.28,98,Clouds,broken clouds,0.37
2025-07-23 19:59:17,Itanagar,26.51,86,Clouds,scattered clouds,1.41
2025-07-23 19:59:17,Gangtok,23.24,97,Clouds,broken clouds,0.26
2025-07-23 19:59:17,Shimla,17.24,92,Rain,light rain,0.46
2025-07-23 19:59:17,Dehradun,25.12,89,Clouds,overcast clouds,0.48
2025-07-23 19:59:17,Chandigarh,30.89,68,Clouds,overcast clouds,2.58
2025-07-23 19:59:17,Panaji,24.46,87,Clouds,overcast clouds,7.12
2025-07-23 19:59:18,Thiruvananthapuram,24.99,91,Clouds,overcast clouds,6.19
2025-07-23 19:59:18,Shillong,21.69,97,Clouds,overcast clouds,0.69
2025-07-23 19:59:18,Puducherry,27.59,79,Clouds,overcast clouds,3.95
